O,D,Diff
308,318,-318
309,316,-162
309,318,-170
31,215,-106
31,236,-159
31,333,-106
31,77,-153
310,316,-113
310,318,-127
311,316,-297
311,318,-278
312,316,-350
312,318,-318
313,316,-226
313,318,-238
314,316,-171
314,318,-180
315,316,-159
315,318,-156
316,317,-335
316,318,-919
316,319,-458
316,320,-563
316,321,-575
316,322,-112
316,323,-108
316,325,-149
316,327,-139
316,442,-129
316,443,-204
316,449,-204
316,450,-142
316,467,-138
316,469,-126
316,470,-113
316,472,-111
317,318,-337
318,319,-739
318,320,-700
318,321,-802
318,322,-159
318,323,-177
318,324,-183
318,325,-239
318,326,-130
318,327,-182
318,328,-113
318,442,-142
318,443,-255
318,444,-107
318,449,-211
318,450,-159
318,467,-197
318,469,-133
318,470,-118
318,472,-160
318,473,-102
318,476,-131
318,484,-108
318,489,-106
32,236,-130
32,77,-111
328,730,-127
34,158,-107
34,210,-123
34,211,-105
34,212,-198
34,215,-229
34,223,-205
34,224,-154
34,227,-214
34,228,-165
34,229,-132
34,230,-189
34,232,-125
34,233,-175
34,235,-162
34,236,-365
34,239,-116
34,240,-133
34,241,-171
34,316,-109
34,317,-120
34,318,-199
34,319,-109
34,320,-131
34,323,-218
34,324,-152
34,325,-127
34,326,-132
34,327,-191
34,331,-158
34,332,-144
34,333,-237
34,334,-196
34,335,-104
34,336,-188
34,340,-148
34,341,-122
34,342,-137
34,353,-105
34,354,-117
34,356,-163
34,357,-116
34,421,-154
34,422,-119
34,426,-175
34,467,-101
34,468,-125
34,474,-103
34,492,-149
34,493,-164
34,495,-183
34,496,-150
34,497,-136
34,499,-129
34,501,-109
34,502,-153
34,513,-108
34,77,-316
38,236,-107
38,421,-107
38,77,-174
41,236,-131
41,246,-109
41,77,-147
42,77,-159
420,425,-142
421,424,-127
421,425,-243
421,430,-108
422,424,-248
422,425,-543
422,430,-218
422,437,-117
422,438,-118
422,441,-137
422,961,-115
423,425,-145
423,430,-146
423,437,-102
423,438,-141
423,441,-147
423,708,-106
423,722,-106
423,961,-189
423,966,-166
423,969,-144
424,425,-481
424,426,-1160
424,427,-453
424,428,-212
424,429,-212
424,430,-457
424,432,-113
424,433,-132
424,434,-119
424,435,-121
424,436,-170
424,437,-260
424,438,-245
424,439,-137
424,440,-179
424,441,-220
424,708,-151
424,709,-182
424,713,-127
425,426,-986
425,427,-513
425,428,-480
425,429,-297
425,430,-599
425,431,-141
425,432,-206
425,433,-146
425,434,-119
425,436,-119
425,437,-234
425,438,-311
425,439,-183
425,440,-297
425,441,-318
425,641,-103
425,642,-127
425,690,-130
425,691,-103
425,692,-118
425,696,-126
425,697,-133
425,698,-142
425,699,-144
425,700,-126
425,701,-139
425,702,-107
425,703,-110
425,704,-142
425,708,-246
425,709,-259
425,710,-140
425,712,-136
425,713,-199
425,714,-123
425,720,-131
425,724,-123
425,725,-102
425,727,-164
425,961,-172
425,966,-137
426,430,-888
426,437,-313
426,438,-368
426,441,-296
426,698,-120
426,708,-185
426,710,-106
426,713,-155
427,430,-711
427,437,-248
427,438,-362
427,441,-314
427,697,-120
427,698,-150
427,708,-234
427,710,-121
427,713,-193
427,961,-150
427,966,-127
428,430,-352
